Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27
2014-05-17 17:10,Bell Crack,SHUYAMOUF,7,O,1,0,Offense,Goal,Beta,Satell,,,Beta,Sara,Raha,Jessie,Miggs,Trey,Satell,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,109,D,2,0,Defense,PullOb,,,Grin,,Grin,Harrison,Gabe,Lexa,Dre,Forbes,Anna,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,109,D,2,0,Defense,Throwaway,,,Anonymous,,Grin,Harrison,Gabe,Lexa,Dre,Forbes,Anna,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,109,D,2,0,Offense,Goal,Grin,Lexa,,,Grin,Harrison,Gabe,Lexa,Dre,Forbes,Anna,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Defense,Pull,,,Ben P,4.699,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Defense,Throwaway,,,Anonymous,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Offense,Catch,Ben J,Ben P,,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Offense,Catch,Ben P,Lexa,,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Offense,Catch,Lexa,Ben P,,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Offense,Catch,Ben P,Melanie,,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Offense,Catch,Melanie,Bulb,,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,101,D,3,0,Offense,Goal,Bulb,Kelly,,,Bulb,Panna,Ben J,Lexa,Ben P,Melanie,Kelly,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,53,D,3,1,Defense,PullOb,,,Harrison,,Stng,Katie,Harrison,Gabe,Garrett,Kelly,Anna,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,53,D,3,1,Defense,Goal,,,Anonymous,,Stng,Katie,Harrison,Gabe,Garrett,Kelly,Anna,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,124,O,3,2,Offense,Throwaway,Satell,Anonymous,,,Stng,Sara,Raha,Devlin,Miggs,Trey,Satell,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,124,O,3,2,Defense,Goal,,,Anonymous,,Stng,Sara,Raha,Devlin,Miggs,Trey,Satell,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,7,O,4,2,Offense,Goal,Trey,Satell,,,Beta,Raha,Devlin,Jessie,Miggs,Trey,Satell,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,60,D,5,2,Defense,Pull,,,Grin,6.283,Panna,Grin,Katie,Lexa,Dre,Forbes,Garrett,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,60,D,5,2,Defense,D,,,Panna,,Panna,Grin,Katie,Lexa,Dre,Forbes,Garrett,,,,,,,,,,,,,,,,,,,,,
2014-05-17 17:10,Bell Crack,SHUYAMOUF,60,D,5,2,Offense,Goal,Katie,Garrett,,,Panna,Grin,Katie,Lexa,Dre,Forbes,Garrett,,,,,,,,,,,,,,,,,,,,,
