Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Hang Time (secs)
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Defense,Pull,,,Panasci,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,6.325
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Defense,Throwaway,,,Anonymous,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Offense,Catch,Panasci,Ben,,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Offense,Catch,Ben,Katie,,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Offense,Throwaway,Katie,Anonymous,,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Defense,D,,,Ben,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,77,D,1,0,Offense,Goal,Ben,Charles,,Weeks,Ben,Katie,BenJ,Panasci,Jessie,Charles,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Defense,Pull,,,Zumba,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,5.876
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Defense,D,,,Tommy,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Butter,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Zumba,Dre,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Dre,Maddie,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Maddie,Tommy,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Tommy,Butter,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Butter,Dre,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Dre,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Zumba,Dre,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Dre,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Zumba,Butter,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Butter,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Drop,Zumba,Maddie,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Defense,Throwaway,,,Anonymous,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Butter,Bill,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Bill,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Zumba,Butter,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Butter,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Zumba,Bill,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Catch,Bill,Zumba,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
2013-05-18 12:03,Bell Crack,Darkwing,171,D,2,0,Offense,Goal,Zumba,Dre,,Diana,Bill,Tommy,Butter,Maddie,Zumba,Dre,,,,,,
